PLOT,NORTHING,EASTING,long,lat
plot116,665730,3237036,-103.29400000000,29.25130000000
plot12,665566,3238115,-103.29600000000,29.26110000000
plot139,666024,3236573,-103.29100000000,29.24710000000
plot14,665401,3237919,-103.29800000000,29.25930000000
plot35,665668,3235986,-103.29500000000,29.24190000000
plot36,665564,3235418,-103.29600000000,29.23670000000
plot58,665840,3234985,-103.29400000000,29.23280000000
plot67,665561,3236277,-103.29600000000,29.24450000000
plot98,665173,3236581,-103.30000000000,29.24730000000
plot99,665303,3236794,-103.29900000000,29.24920000000
