PLOT,NORTHING,EASTING,long,lat
plot1,665259,3238559,-103.29900000000,29.26510000000
plot10,665482,3238499,-103.29700000000,29.26460000000
plot11,665695,3238347,-103.29500000000,29.26320000000
plot19,666514,3239344,-103.28600000000,29.27200000000
plot22,666854,3239453,-103.28300000000,29.27300000000
plot40,665431,3236105,-103.29800000000,29.24300000000
plot48,665655,3235936,-103.29500000000,29.24140000000
plot49,666033,3235317,-103.29200000000,29.23580000000
plot7,664814,3238329,-103.30400000000,29.26310000000
plot8,664974,3238539,-103.30200000000,29.26500000000
