sensor,type,gone,pair,lat,lon,elev,asp,asp2,type,note,mtn,gswc110314,questions
BC519,T,,,29.2455,-103.29397,2047,S?,,midslope/valley,In JUNFLA between BC2 and BC3 campsites,CM,,
BC520,T,,,29.23563,-103.29992,2165,NW?,,midslope,above trail in QUEGRI,CM,,
BC521,H,,BC520,29.23563,-103.29992,2165,NW?,,midslope,above trail in QUEGRI,CM,,
BR524,T,,,29.27411,-103.28332,1730,NE,,midslope,Near large pulloff before first switchback (before Lost Mine parking),CM,,
BR525,T,,,29.29441,-103.26825,1509,NE,,midslope/flat,Across the road from dirt pulloff,CM,,
ET518,T,,,29.24807,-103.29872,2205,SSE?,,midslope,above trail in PINCEM,CM,,
LA502,H,,LA503,29.24275,-103.31316,2027,W,,flat,campsite LM4 in JUNFLA,CM,,
LA503,T,,,29.24275,-103.31316,2027,W,,flat,Humidity in campsite LM4 in JUNFLA,CM,,
LA504,T,,,29.24163,-103.30638,2136,SW,,midslope,above trail in PINCEM,CM,,
LA505,T,,,29.25129,-103.30721,1929,NNNW,39,midslope,above trail in JUNFLA,CM,,
LA506,T,,,29.25491,-103.30778,1803,S,160,ridge,above trail in PINCEM,CM,,
LA507,T,,,29.25574,-103.30672,1771,N,328,valley,,CM,,
LA508,T,,,29.26723,-103.30473,1653,N,319,midslope,,CM,,
LM501,T,1,,29.27189,-103.26907,2100,?,,ridge,In JUNFLA off of side trail,CM,,
PC509,T,,,29.262736,-103.256482,1780,E,,valley,northeast of pouroff in bent over QUEGRA,CM,,
PC510,T,,,29.26337,-103.25191,1662,E,,valley,across creek bed on back of Madrone,CM,,
PC511,H,,PC510,29.26337,-103.25191,1662,E,,valley,humidity.   across creek bed on back of Madrone,CM,,
PC512,T,,,29.26741,-103.24255,1580,E,,flat,in PINCEM,CM,,
PI513,T,,,29.26459,-103.29859,1761,NE,,midslope,above trail in PINCEM,CM,,
PI514,H,,PI513,29.26459,-103.29859,1761,NE,,midslope,humidity.  above trail in PINCEM,CM,,
PI515,T,,,29.25924,-103.29441,1850,NE,,midslope,Near BM3 campsite in PINCEM,CM,,
PI516,T,,,29.25329,-103.30051,1971,N?,,midslope,In JUNFLA on switchback,CM,,
PI517,T,,,29.25247,-103.29587,2145,SSW,,ridge,In PINCEM past TM1 campsite,CM,,
SR522,T,,,29.22629,-103.29849,2238,?,,ridge,above trail very close to rim!,CM,,
SR523,T,,,29.23336,-103.30384,2200,NE?,,midslope,In JUNDEP near SW3 campsite,CM,,
BG030,T,,,30.64508,-104.15937,2230,,,,,DM,0.034412635,
BG031,H,,BG031,30.64408,-104.16076,2243,,,,,DM,0.032442233,
BG041,H,,BG041,30.63955,-104.16196,2260,,,,,DM,0.043238191,
BG230,H,,BG230,30.63982,-104.162156,2238,,,,,DM,,
BG270,T,,,30.64007,-104.16238,2228,,,,,DM,0.046271795,
CC220,T,,,30.69806,-104.12228,1825,,,,,DM,0.059656843,
CC221,H,,CC221,30.69799,-104.12186,1891,,,,,DM,0.06916251,
CT022,T,,,30.65989,-104.16985,1964,,,,,DM,0.068345151,
CT023,H,,CT023,30.66555,-104.17407,2020,,,,,DM,0.069730426,
