Measurement Time,m³/m³ VWC,kPa Potential,kPa Potential,m³/m³ VWC,None
8/12/2013 9:00 AM,0.183,-239,-121,0.216,
8/12/2013 10:00 AM,0.183,-244,-118,0.214,
8/12/2013 11:00 AM,0.181,-246,-119,0.213,
8/12/2013 12:00 PM,0.179,-246,-120,0.212,
8/12/2013 1:00 PM,0.179,-248,-121,0.210,
8/12/2013 2:00 PM,0.178,-248,-122,0.209,
8/12/2013 3:00 PM,0.177,-248,-122,0.208,
8/12/2013 4:00 PM,0.176,-248,-124,0.207,
8/12/2013 5:00 PM,0.175,-251,-125,0.204,
8/12/2013 6:00 PM,0.174,-251,-126,0.203,
8/12/2013 7:00 PM,0.174,-251,-127,0.203,
8/12/2013 8:00 PM,0.175,-253,-129,0.203,
8/12/2013 9:00 PM,0.175,-256,-130,0.203,
8/12/2013 10:00 PM,0.175,-258,-131,0.203,
8/12/2013 11:00 PM,0.174,-258,-132,0.203,
8/13/2013 12:00 AM,0.174,-261,-133,0.203,
8/13/2013 1:00 AM,0.174,-263,-135,0.203,
8/13/2013 2:00 AM,0.174,-266,-136,0.203,
8/13/2013 3:00 AM,0.174,-268,-137,0.203,
8/13/2013 4:00 AM,0.174,-268,-137,0.202,
8/13/2013 5:00 AM,0.173,-268,-138,0.202,
8/13/2013 6:00 AM,0.173,-271,-139,0.202,
8/13/2013 7:00 AM,0.173,-271,-139,0.202,
8/13/2013 8:00 AM,0.173,-273,-139,0.202,
8/13/2013 9:00 AM,0.173,-276,-139,0.202,
8/13/2013 10:00 AM,0.172,-276,-139,0.202,
8/13/2013 11:00 AM,0.170,-276,-139,0.200,
8/13/2013 12:00 PM,0.169,-276,-140,0.199,
8/13/2013 1:00 PM,0.168,-276,-140,0.197,
8/13/2013 2:00 PM,0.168,-279,-142,0.196,
8/13/2013 3:00 PM,0.166,-276,-142,0.193,
8/13/2013 4:00 PM,0.166,-273,-142,0.192,
8/13/2013 5:00 PM,0.166,-273,-143,0.191,
8/13/2013 6:00 PM,0.165,-273,-143,0.191,
8/13/2013 7:00 PM,0.165,-273,-144,0.190,
8/13/2013 8:00 PM,0.165,-276,-145,0.190,
8/13/2013 9:00 PM,0.165,-279,-148,0.190,
8/13/2013 10:00 PM,0.165,-281,-149,0.190,
8/13/2013 11:00 PM,0.165,-284,-152,0.190,
8/14/2013 12:00 AM,0.164,-287,-153,0.190,
8/14/2013 1:00 AM,0.164,-290,-155,0.189,
8/14/2013 2:00 AM,0.164,-292,-156,0.189,
8/14/2013 3:00 AM,0.164,-292,-157,0.189,
8/14/2013 4:00 AM,0.163,-295,-160,0.188,
8/14/2013 5:00 AM,0.163,-298,-162,0.188,
8/14/2013 6:00 AM,0.162,-301,-162,0.188,
8/14/2013 7:00 AM,0.162,-301,-163,0.187,
8/14/2013 8:00 AM,0.162,-301,-164,0.187,
8/14/2013 9:00 AM,0.162,-304,-164,0.186,
8/14/2013 10:00 AM,0.162,-304,-164,0.186,
8/14/2013 11:00 AM,0.161,-307,-166,0.186,
8/14/2013 12:00 PM,0.159,-307,-167,0.186,
8/14/2013 1:00 PM,0.159,-307,-167,0.185,
8/14/2013 2:00 PM,0.159,-307,-167,0.185,
8/14/2013 3:00 PM,0.159,-307,-167,0.184,
8/14/2013 4:00 PM,0.159,-304,-167,0.183,
8/14/2013 5:00 PM,0.158,-301,-167,0.183,
8/14/2013 6:00 PM,0.158,-301,-166,0.183,
8/14/2013 7:00 PM,0.158,-304,-166,0.182,
8/14/2013 8:00 PM,0.158,-304,-167,0.182,
8/14/2013 9:00 PM,0.158,-304,-167,0.182,
