Measurement Time,m³/m³ VWC,kPa Potential,kPa Potential,m³/m³ VWC,None
06/26/13 01:00 PM,0.107,-4053,-1640,0.137,
06/26/13 02:00 PM,0.355,-21,-13,0.396,
06/26/13 03:00 PM,0.354,-21,-13,0.395,
06/26/13 04:00 PM,0.352,-22,-13,0.394,
06/26/13 05:00 PM,0.352,-23,-13,0.393,
06/26/13 06:00 PM,0.350,-24,-13,0.392,
06/26/13 07:00 PM,0.349,-25,-14,0.390,
06/26/13 08:00 PM,0.349,-26,-14,0.389,
06/26/13 09:00 PM,0.347,-27,-14,0.388,
06/26/13 10:00 PM,0.345,-28,-14,0.387,
06/26/13 11:00 PM,0.344,-28,-14,0.386,
06/27/13 12:00 AM,0.343,-29,-14,0.386,
06/27/13 01:00 AM,0.342,-29,-14,0.384,
06/27/13 02:00 AM,0.342,-30,-14,0.383,
06/27/13 03:00 AM,0.342,-30,-14,0.383,
06/27/13 04:00 AM,0.340,-30,-15,0.383,
06/27/13 05:00 AM,0.340,-31,-15,0.382,
06/27/13 06:00 AM,0.338,-31,-15,0.381,
06/27/13 07:00 AM,0.338,-32,-15,0.381,
06/27/13 08:00 AM,0.338,-32,-15,0.380,
06/27/13 09:00 AM,0.336,-32,-15,0.379,
06/27/13 10:00 AM,0.334,-33,-15,0.378,
06/27/13 11:00 AM,0.332,-34,-15,0.377,
06/27/13 12:00 PM,0.330,-35,-15,0.377,
06/27/13 01:00 PM,0.328,-37,-15,0.376,
06/27/13 02:00 PM,0.326,-38,-15,0.373,
06/27/13 03:00 PM,0.325,-40,-16,0.372,
06/27/13 04:00 PM,0.324,-41,-16,0.370,
06/27/13 05:00 PM,0.323,-43,-16,0.369,
06/27/13 06:00 PM,0.323,-44,-16,0.370,
06/27/13 07:00 PM,0.323,-45,-16,0.372,
06/27/13 08:00 PM,0.321,-46,-16,0.373,
06/27/13 09:00 PM,0.321,-47,-16,0.375,
06/27/13 10:00 PM,0.320,-47,-15,0.376,
06/27/13 11:00 PM,0.319,-48,-15,0.376,
06/28/13 12:00 AM,0.319,-49,-15,0.376,
06/28/13 01:00 AM,0.318,-49,-15,0.376,
06/28/13 02:00 AM,0.317,-50,-15,0.376,
06/28/13 03:00 AM,0.317,-51,-15,0.376,
06/28/13 04:00 AM,0.315,-51,-15,0.376,
06/28/13 05:00 AM,0.315,-52,-15,0.375,
06/28/13 06:00 AM,0.314,-52,-15,0.375,
06/28/13 07:00 AM,0.314,-53,-15,0.374,
06/28/13 08:00 AM,0.312,-53,-16,0.373,
06/28/13 09:00 AM,0.311,-53,-16,0.373,
06/28/13 10:00 AM,0.309,-54,-16,0.372,
