Measurement Time,kPa Potential,m³/m³ VWC,kPa Potential,m³/m³ VWC,None
8/12/2013 1:00 PM,-214,0.132,-186,0.146,
8/12/2013 2:00 PM,-214,0.133,-178,0.146,
8/12/2013 3:00 PM,-210,0.133,-180,0.146,
8/12/2013 4:00 PM,-210,0.133,-180,0.145,
8/12/2013 5:00 PM,-212,0.134,-180,0.145,
8/12/2013 6:00 PM,-212,0.134,-180,0.145,
8/12/2013 7:00 PM,-216,0.133,-180,0.145,
8/12/2013 8:00 PM,-216,0.133,-178,0.146,
8/12/2013 9:00 PM,-218,0.132,-180,0.146,
8/12/2013 10:00 PM,-218,0.132,-181,0.146,
8/12/2013 11:00 PM,-220,0.132,-181,0.146,
8/13/2013 12:00 AM,-222,0.131,-183,0.146,
8/13/2013 1:00 AM,-222,0.131,-183,0.146,
8/13/2013 2:00 AM,-226,0.130,-183,0.146,
8/13/2013 3:00 AM,-226,0.130,-185,0.145,
8/13/2013 4:00 AM,-228,0.129,-186,0.145,
8/13/2013 5:00 AM,-230,0.129,-188,0.145,
8/13/2013 6:00 AM,-233,0.129,-190,0.145,
8/13/2013 7:00 AM,-235,0.129,-190,0.145,
8/13/2013 8:00 AM,-237,0.128,-192,0.145,
8/13/2013 9:00 AM,-237,0.128,-190,0.145,
8/13/2013 10:00 AM,-237,0.128,-190,0.145,
8/13/2013 11:00 AM,-237,0.128,-190,0.145,
8/13/2013 12:00 PM,-239,0.128,-188,0.144,
8/13/2013 1:00 PM,-235,0.129,-188,0.144,
8/13/2013 2:00 PM,-237,0.130,-183,0.144,
8/13/2013 3:00 PM,-239,0.132,-183,0.144,
8/13/2013 4:00 PM,-235,0.132,-185,0.144,
8/13/2013 5:00 PM,-233,0.134,-183,0.144,
8/13/2013 6:00 PM,-233,0.134,-183,0.144,
8/13/2013 7:00 PM,-235,0.134,-185,0.144,
8/13/2013 8:00 PM,-237,0.134,-185,0.145,
8/13/2013 9:00 PM,-237,0.134,-186,0.145,
8/13/2013 10:00 PM,-241,0.133,-186,0.145,
8/13/2013 11:00 PM,-244,0.132,-186,0.145,
8/14/2013 12:00 AM,-244,0.132,-188,0.145,
