sensor,type,gone,pair,lat,lon,elev,mtn,gswc110314,gswc111008,gswc121005,gswc130330,gswc130813
BG030,T,,,30.64508,-104.15937,2230,DM,0.034412635,0.0638163008,0.2610985119,0.0574634108,0.0995875868
BG031,H,,BG031,30.64408,-104.16076,2243,DM,0.032442233,0.0955057392,0.1674093285,0.0930748717,0.1769320529
BG041,H,,BG041,30.63955,-104.16196,2260,DM,0.043238191,0.197751545,0.2662904493,0.192307101,0.13811185
BG230,H,1,BG230,30.639749,-104.162543,2238,DM,,,,,
BG270,T,,,30.64007,-104.16238,2228,DM,0.046271795,0.0818882751,0.1848975656,0.1093721854,0.1248982487
CC220,T,,,30.69806,-104.12228,1825,DM,0.059656843,0.0794385288,0.1244656565,0.0657348376,0.1038409719
CC221,H,,CC221,30.69799,-104.12186,1891,DM,0.06916251,0.0794385288,0.1468615237,0.0655682396,0.1540700234
CT022,T,,,30.65989,-104.16985,1964,DM,0.068345151,0.1014216314,0.2091133408,0.1112199254,0.1515050849
CT023,H,,CT023,30.66555,-104.17407,2020,DM,0.069730426,0.0470483489,0.3142529078,0.1541917184,0.1661244144
FT004,T,1,,30.67735,-104.13095,1859,DM,,,,,
FT005,H,,FT005,30.67747,-104.13188,1870,DM,0.066875587,0.0654247565,0.2026607813,0.0693408023,0.0806098322
GN018,T,1,,30.65773,-104.16598,1949,DM,,,,,
GN019,H,,GN019,30.65773,-104.16598,1949,DM,0.031199192,0.0541449728,0.1381546892,0.1234493119,0.0605213524
GN115,T,,,30.65694,-104.16619,1949,DM,,0.0684336323,,,
GR012,T,,,30.64586,-104.17009,2109,DM,0.058348258,0.0700815691,0.0996231586,0.0637516281,0.0601527945
GR013,H,1,GR013,30.646104,-104.170436,2099,DM,,,,,
GR016,T,1,,30.65199,-104.17125,1994,DM,,,,,
GR017,H,,GR017,30.65199,-104.17125,1994,DM,0.03763539,0.0386006164,0.1353627738,0.0513118998,0.0631035786
GR020,T,,,30.64285,-104.16464,2181,DM,0.046076008,0.1058225207,0.2035334317,0.1333799738,0.1528402056
GR036,T,,,30.64854,-104.17126,2058,DM,0.045606141,0.0612601965,0.2471001819,0.0831778976,0.0756308556
GR037,H,,GR037,30.64351,-104.16831,2154,DM,0.038978489,0.0891784767,0.1515619441,0.0810856649,0.1280624466
LG002,T,,,30.68344,-104.14295,1892,DM,0.064256053,0.0815660978,0.202245439,0.1258864594,0.1974862876
LG003,H,,LG003,30.68349,-104.14254,1891,DM,0.050396844,0.1302145142,0.1681790725,0.2292920278,0.133183157
LG024,T,,,30.67629,-104.16224,2037,DM,0.023179639,0.0552198705,0.1464805374,0.0502681487,0.0724795152
LG025,H,,LG025,30.67762,-104.16333,2025,DM,0.025889222,0.0867025102,0.1837841911,0.05082939,0.1185468599
MD237,H,,MD237,30.66753,-104.15071,1891,DM,0.070736241,0.0529071258,,0.0980471222,0.143308761
MD243,T,,,30.6676,-104.15109,1891,DM,0.06799694,0.0529071258,,0.0861021918,0.1120522077
MD282,T,,,30.66647,-104.14974,1887,DM,0.06061336,0.0945806756,,0.0601828269,0.0953918403
MD283,H,,MD282,30.66658,-104.14955,1893,DM,0.06061336,0.0945806756,0.2535240827,,
MI006,T,,,30.70077,-104.11395,1791,DM,0.055981398,0.0529342605,0.0999814301,0.0691652556,0.1123984627
MI007,H,,MI007,30.70048,-104.11389,1799,DM,0.029850985,0.0751573491,0.0939481796,0.062704498,0.1061735733
MI032,T,,,30.70531,-104.12057,1869,DM,0.044705112,0.056688576,0.1247036268,0.0938652111,0.1113215647
MI034,T,,,30.69899,-104.11052,1834,DM,0.074797473,0.0911528293,0.1688979532,0.0897952437,0.14829652
TC008,T,,,30.65536,-104.17111,1964,DM,0.0579641,0.0919513847,0.2496519406,0.149669113,0.169939648
TC009,H,1,TC009,30.65536,-104.17111,1964,DM,,,,,
TC010,T,,,30.63901,-104.17912,2221,DM,0.148995339,0.1146447614,0.2528948129,0.1450973869,0.1659712143
TC011,H,,TC011,30.6399,-104.17971,2210,DM,0.045568235,0.0618443286,0.2546057569,0.1198662659,0.1708678012
TC026,T,,,30.64748,-104.186631,2137,DM,0.023834272,0.049490391,0.0984576046,0.0684217568,0.0557093019
TC027,H,,TC027,30.64786,-104.18591,2132,DM,0.048946962,0.0817303818,0.0922786414,0.0789322927,0.0742794064
TC028,T,,,30.64638,-104.17966,2074,DM,0.0328363715,0.0709410096,0.1734656554,0.0486526325,0.0724516264
VR014,T,1,,30.642356,-104.163252,2251,DM,,,,,
VR015,H,,VR015,30.64202,-104.16409,2259,DM,0.031350482,0.0837559269,0.254692293,0.140889522,0.1039739572
VR038,T,,,30.63946,-104.16566,2358,DM,0.033458315,0.1224265593,0.2806401597,-0.043699681,0.1684411047
VR039,H,,VR039,30.63754,-104.16526,2406,DM,0.066550809,0.2192340396,0.3352056898,0.1121797873,0.169662574
LC040,T,,,30.71628,-104.084094,1751,DM,,,,0.0663190281,
